Record_ID,Entity_Name,State,Covered_Entity_Type,Individuals_Affected,Submission_Date,Submission_Year,Submission_Month,Breach_Type,Information_Location,Business_Associate_Present,Investigation_Status,Large_Breach_100K,Log_Individuals_Affected,Business_Associate_Flag,Hacking_IT_Flag,Unauthorized_Access_Flag,Theft_Flag,Loss_Flag,Improper_Disposal_Flag,Potential_Duplicate_Flag,Model_Ready_Flag
HHS-000030,Stafford Oral Surgery P.C.,VA,Healthcare Provider,7019,2026-05-15,2026,5,Hacking/IT Incident,Email,Yes,Archived,0,8.8565184970198576,1,1,0,0,0,0,0,1
HHS-000031,Trinity Health,MI,Business Associate,5905,2026-05-13,2026,5,Unauthorized Access/Disclosure,Email,Yes,Archived,0,8.6837240623038685,1,0,1,0,0,0,0,1
HHS-000032,Family Health Centers of San Diego,CA,Healthcare Provider,523,2026-05-12,2026,5,Unauthorized Access/Disclosure,Email,No,Archived,0,6.261491684321042,0,0,1,0,0,0,0,1
HHS-000033,Elara Caring,TX,Healthcare Provider,10490,2026-05-12,2026,5,Hacking/IT Incident,Network Server,Yes,Archived,0,9.2582730257314854,1,1,0,0,0,0,0,1
HHS-000034,World Trade Center Health Program,DC,Health Plan,1071,2026-05-07,2026,5,Hacking/IT Incident,Network Server,Yes,Archived,0,6.9772813416307473,1,1,0,0,0,0,0,1
HHS-000035,"Ouster, Inc.",CA,Health Plan,574,2026-04-30,2026,4,Unauthorized Access/Disclosure,Network Server,No,Archived,0,6.3543700407973507,0,0,1,0,0,0,0,1
HHS-000036,Interim HealthCare of Lubbock,TX,Healthcare Provider,2071,2026-04-23,2026,4,Hacking/IT Incident,Network Server,Yes,Archived,0,7.6362696033793735,1,1,0,0,0,0,0,1
HHS-000037,Interim HealthCare of Amarillo,TX,Healthcare Provider,666,2026-04-23,2026,4,Hacking/IT Incident,Network Server,Yes,Archived,0,6.5027900459156234,1,1,0,0,0,0,0,1
HHS-000038,Liberty Bankers Life Ins. Co.,TX,Health Plan,20202,2026-04-22,2026,4,Hacking/IT Incident,Network Server,Yes,Archived,0,9.9135863872135417,1,1,0,0,0,0,0,1
HHS-000039,L.A. Care Health Plan,CA,Health Plan,2885,2026-04-17,2026,4,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,7.9676267393338165,0,0,1,0,0,0,0,1
